authority_id,country_code,province_code,legacy_authority_code,display_code,authority_ref,official_name,authority_type,status,valid_from,valid_to
c6181a75-2d28-55ab-8f46-e38131896074,ZM,ZM-01,KLO,KLO,ZM-01-KLO,Kalabo Town Council,Town Council,active,,
6b6cccae-4702-511b-8923-7f3ae99c24c3,ZM,ZM-01,KOM,KOM,ZM-01-KOM,Kaoma Town Council,Town Council,active,,
0038d4de-4879-590e-8449-9f65845d0e75,ZM,ZM-01,LML,LML,ZM-01-LML,Limulunga Town Council,Town Council,active,,
10c705b6-5b6f-528e-b0f4-b1337ddb9395,ZM,ZM-01,LPM,LPM,ZM-01-LPM,Luampa Town Council,Town Council,active,,
4a30bc72-17b6-5eb3-9c03-28577692961d,ZM,ZM-01,LKL,LKL,ZM-01-LKL,Lukulu Town Council,Town Council,active,,
da43dcc1-917f-54a5-9fed-bcc6bdb17122,ZM,ZM-01,MTT,MTT,ZM-01-MTT,Mitete Town Council,Town Council,active,,
36ee7de1-c055-50db-b0bc-02c41747fa50,ZM,ZM-01,MGU,MGU,ZM-01-MGU,Mongu Municipal Council,Municipal Council,active,,
257b8b3f-2de5-57a1-ac1f-7519d80bd068,ZM,ZM-01,MLB,MLB,ZM-01-MLB,Mulobezi Town Council,Town Council,active,,
5ffeee6a-1e28-59e9-b519-47eb5a7ff828,ZM,ZM-01,MWD,MWD,ZM-01-MWD,Mwandi Town Council,Town Council,active,,
19edd1bc-de71-5240-8d08-d6ffd97a33e4,ZM,ZM-01,NLL,NLL,ZM-01-NLL,Nalolo Town Council,Town Council,active,,
eca13749-f222-5fca-900a-a36a3276aee3,ZM,ZM-01,NKY,NKY,ZM-01-NKY,Nkeyema Town Council,Town Council,active,,
5add994b-44af-5707-9d73-b61c4b642517,ZM,ZM-01,SNG,SNG,ZM-01-SNG,Senanga Town Council,Town Council,active,,
79afd927-72e4-5fed-af4b-16eccad89741,ZM,ZM-01,SSH,SSH,ZM-01-SSH,Sesheke Town Council,Town Council,active,,
3117a05f-09bf-5e69-8d02-8778a9847e91,ZM,ZM-01,SGM,SGM,ZM-01-SGM,Shangombo Town Council,Town Council,active,,
70b4156e-9de5-5fb1-91b4-36eb579f2246,ZM,ZM-01,SKG,SKG,ZM-01-SKG,Sikongo Town Council,Town Council,active,,
47b6a60c-cb56-51ad-887a-5eda84de650d,ZM,ZM-01,SOM,SOM,ZM-01-SOM,Sioma Town Council,Town Council,active,,
057f3975-1c85-55eb-9fdf-25ddbdb968f4,ZM,ZM-02,CBB,CBB,ZM-02-CBB,Chibombo Town Council,Town Council,active,,
28fbb278-e7cb-5c29-b42f-98fa5ba0a4d3,ZM,ZM-02,CSM,CSM,ZM-02-CSM,Chisamba Town Council,Town Council,active,,
b590db67-9986-536d-9c75-8f1a3728b5ea,ZM,ZM-02,CTM,CTM,ZM-02-CTM,Chitambo Town Council,Town Council,active,,
48a18f75-5605-5418-9489-99c8052998dc,ZM,ZM-02,KBW,KBW,ZM-02-KBW,Kabwe Municipal Council,Municipal Council,active,,
dcfcf021-1f50-5ca6-9266-0599283c377d,ZM,ZM-02,KPM,KPM,ZM-02-KPM,Kapiri Mposhi Town Council,Town Council,active,,
a23916c0-7d4d-5627-9734-dd341e2fcbb4,ZM,ZM-02,LNO,LNO,ZM-02-LNO,Luano Town Council,Town Council,active,,
275469af-dc8b-595c-96a8-25908730c24d,ZM,ZM-02,MKU,MKU,ZM-02-MKU,Mkushi Town Council,Town Council,active,,
5a8ab3e5-0f26-5e4d-b0ec-0d31229dc8cd,ZM,ZM-02,MBW,MBW,ZM-02-MBW,Mumbwa Town Council,Town Council,active,,
23e14477-abf2-54d9-b255-7f1644f5e6d1,ZM,ZM-02,NGB,NGB,ZM-02-NGB,Ngabwe Town Council,Town Council,active,,
f8b760af-6af9-541e-9a4d-e810ecd221de,ZM,ZM-02,SRJ,SRJ,ZM-02-SRJ,Serenje Town Council,Town Council,active,,
a24fdd30-b6fa-574c-a9d5-c8e3e8a90ed9,ZM,ZM-02,SBY,SBY,ZM-02-SBY,Shibuyunji Town Council,Town Council,active,,
d4c33205-9312-5189-82ce-8cff24a1f6f9,ZM,ZM-03,CDZ,CDZ,ZM-03-CDZ,Chadiza Town Council,Town Council,active,,
73e2e946-a2ce-5c3e-bdb9-78edb560534d,ZM,ZM-03,CMA,CMA,ZM-03-CMA,Chama Town Council,Town Council,active,,
0552ae2a-1ed1-5865-ab23-48121078f419,ZM,ZM-03,CSF,CSF,ZM-03-CSF,Chasefu Town Council,Town Council,active,,
85ada063-afed-5086-a974-b6b4d78b133a,ZM,ZM-03,CPG,CPG,ZM-03-CPG,Chipangali Town Council,Town Council,active,,
67ffa471-f931-5815-a7d1-4d0c6ba0a015,ZM,ZM-03,CPT,CPT,ZM-03-CPT,Chipata City Council,City Council,active,,
471ac084-a0cc-5fe6-b89e-04d0afc402ee,ZM,ZM-03,KSN,KSN,ZM-03-KSN,Kasenengwa Town Council,Town Council,active,,
9a988145-8841-5ff2-9a35-1ac8134b086d,ZM,ZM-03,KTT,KTT,ZM-03-KTT,Katete Town Council,Town Council,active,,
f1b84e0d-ac01-5c99-9ca1-62946fc00ec6,ZM,ZM-03,LMZ,LMZ,ZM-03-LMZ,Lumezi Town Council,Town Council,active,,
ab8ecefc-d5fb-5f1c-863c-b06ec1a414ba,ZM,ZM-03,LND,LND,ZM-03-LND,Lundazi Town Council,Town Council,active,,
107d80f1-397b-5112-8037-b464a2b7354b,ZM,ZM-03,LSG,LSG,ZM-03-LSG,Lusangazi Town Council,Town Council,active,,
fd4207ad-a839-51a1-b279-7c15baa80e8c,ZM,ZM-03,MMB,MMB,ZM-03-MMB,Mambwe Town Council,Town Council,active,,
11b2049d-0ef2-564d-a20c-481870b681e6,ZM,ZM-03,NYM,NYM,ZM-03-NYM,Nyimba Town Council,Town Council,active,,
8ffa74a6-0520-5485-ac54-2abe7b5e3fde,ZM,ZM-03,PTK,PTK,ZM-03-PTK,Petauke Town Council,Town Council,active,,
d7bf143c-8d6d-5bcb-890e-8b27bdc16da4,ZM,ZM-03,SND,SND,ZM-03-SND,Sinda Town Council,Town Council,active,,
6dd71fa0-799f-5516-bb55-38541be6dc81,ZM,ZM-03,VBW,VBW,ZM-03-VBW,Vubwi Town Council,Town Council,active,,
1f248d7f-69b8-55de-8bde-c8fc51857035,ZM,ZM-04,CHB,CHB,ZM-04-CHB,Chembe Town Council,Town Council,active,,
a40b1e88-3431-517e-9387-34a117fc0bf5,ZM,ZM-04,CHG,CHG,ZM-04-CHG,Chiengi Town Council,Town Council,active,,
