Grade,Notch,Existing_Annual_K,Existing_Monthly_K,Revised_Annual_K,Revised_Monthly_K,Increment_K
LGSS01,1,174319,14527,182839,15237,4101
LGSS01,2,178420,14868,186940,15578,4101
LGSS01,3,182522,15210,191042,15920,4101
LGSS01,4,186623,15552,195143,16262,4101
LGSS01,5,190724,15894,199244,16604,4101
LGSS01,6,194825,16235,203345,16945,4101
LGSS01,7,198927,16577,207447,17287,4101
LGSS02,1,163344,13612,171864,14322,3992
LGSS02,2,167336,13945,175856,14655,3992
LGSS02,3,171329,14277,179849,14987,3992
LGSS02,4,175321,14610,183841,15320,3992
LGSS02,5,179313,14943,187833,15653,3992
LGSS02,6,183305,15275,191825,15985,3992
LGSS02,7,187297,15608,195817,16318,3992
LGSS03,1,152694,12725,161214,13435,3884
LGSS03,2,156578,13048,165098,13758,3884
LGSS03,3,160462,13372,168982,14082,3884
LGSS03,4,164346,13696,172866,14406,3884
LGSS03,5,168230,14019,176750,14729,3884
LGSS03,6,172114,14343,180634,15053,3884
LGSS03,7,175998,14667,184518,15377,3884
LGSS04,1,137295,11441,145815,12151,3595
LGSS04,2,140890,11741,149410,12451,3595
LGSS04,3,144485,12040,153005,12750,3595
LGSS04,4,148080,12340,156600,13050,3595
LGSS04,5,151675,12640,160195,13350,3595
LGSS04,6,155270,12939,163790,13649,3595
LGSS04,7,158865,13239,167385,13949,3595
LGSS05,1,126665,10555,135185,11265,3494
LGSS05,2,130159,10847,138679,11557,3494
LGSS05,3,133653,11138,142173,11848,3494
LGSS05,4,137147,11429,145667,12139,3494
LGSS05,5,140641,11720,149161,12430,3494
LGSS05,6,144135,12011,152655,12721,3494
LGSS05,7,147629,12302,156149,13012,3494
LGSS06,1,117449,9787,125969,10497,3389
LGSS06,2,120838,10070,129358,10780,3389
LGSS06,3,124227,10352,132747,11062,3389
LGSS06,4,127616,10635,136136,11345,3389
LGSS06,5,131005,10917,139525,11627,3389
LGSS06,6,134394,11200,142914,11910,3389
LGSS06,7,137783,11482,146303,12192,3389
LGSS07,1,108542,9045,117062,9755,3288
LGSS07,2,111830,9319,120350,10029,3288
LGSS07,3,115118,9593,123638,10303,3288
LGSS07,4,118406,9867,126926,10577,3288
LGSS07,5,121694,10141,130214,10851,3288
LGSS07,6,124982,10415,133502,11125,3288
LGSS07,7,128270,10689,136790,11399,3288
