Scale,Notch,Annual_K,Monthly_K,Increment_K
LGSS08,1,114595,9550,2867
LGSS08,2,117462,9789,2867
LGSS08,3,120329,10027,2867
LGSS08,4,123196,10266,2867
LGSS08,5,126063,10505,2867
LGSS09,1,106721,8893,2778
LGSS09,2,109499,9125,2778
LGSS09,3,112277,9356,2778
LGSS09,4,115055,9588,2778
LGSS09,5,117833,9819,2778
LGSS10,1,99072,8256,2686
LGSS10,2,101758,8480,2686
LGSS10,3,104444,8704,2686
LGSS10,4,107130,8928,2686
LGSS10,5,109816,9151,2686
LGSS11,1,91614,7635,2604
LGSS11,2,94218,7852,2604
LGSS11,3,96822,8069,2604
LGSS11,4,99426,8286,2604
LGSS11,5,102030,8503,2604
LGSS12,1,84963,7080,2516
LGSS12,2,87479,7290,2516
LGSS12,3,89995,7500,2516
LGSS12,4,92511,7709,2516
LGSS12,5,95027,7919,2516
LGSS13,1,78276,6523,2433
LGSS13,2,80709,6726,2433
LGSS13,3,83142,6929,2433
LGSS13,4,85575,7131,2433
LGSS13,5,88008,7334,2433
LGSS14,1,71536,5961,2339
LGSS14,2,73875,6156,2339
LGSS14,3,76214,6351,2339
LGSS14,4,78553,6546,2339
LGSS14,5,80892,6741,2339
LGSS15,1,58060,4838,2253
LGSS15,2,60313,5026,2253
LGSS15,3,62566,5214,2253
LGSS15,4,64819,5402,2253
LGSS15,5,67072,5589,2253
LGSS16,1,51984,4332,2164
LGSS16,2,54148,4512,2164
LGSS16,3,56312,4693,2164
LGSS16,4,58476,4873,2164
LGSS16,5,60640,5053,2164
LGSS17,1,46117,3843,2075
LGSS17,2,48192,4016,2075
LGSS17,3,50267,4189,2075
LGSS17,4,52342,4362,2075
LGSS17,5,54417,4535,2075
LGSS18,1,44252,3688,2011
LGSS18,2,46263,3855,2011
LGSS18,3,48274,4023,2011
LGSS18,4,50285,4190,2011
LGSS18,5,52296,4358,2011
Grade1,1,46016,3835,1496
Grade1,2,47512,3959,1496
Grade1,3,49008,4084,1496
Grade1,4,50504,4209,1496
Grade1,5,52000,4333,1496
Grade2,1,42129,3511,1395
Grade2,2,43524,3627,1395
Grade2,3,44919,3743,1395
Grade2,4,46314,3860,1395
Grade2,5,47709,3976,1395
Grade3,1,41468,3456,1294
Grade3,2,42762,3564,1294
Grade3,3,44056,3671,1294
Grade3,4,45350,3779,1294
Grade3,5,46644,3887,1294
