position_id,title,salary_scale,establishment,section,reports_to,council_type
DIRECTOR___COMMUNITY_SERVICES,DIRECTOR - COMMUNITY SERVICES,,1,Community Services,,Town
ASSISTANT_DIRECTOR___SOCIAL_SE,ASSISTANT DIRECTOR - SOCIAL SERVICES,L,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
COMMUNITY_DEVELOPMENT_OFFICER,Community Development Officer,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_COMMUNITY_DEVELOPMEN,Assistant Community Development Officer,,2,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Town
COMMUNITY_DEVELOPMENT_ASSISTAN,Community Development Assistant,,4,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Town
LIBRARY_OFFICER,Library Officer,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
CONSERVATOR,Conservator,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_LIBRARY_OFFICER,Assistant Library Officer,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_DIRECTOR___BUS_STATI,"ASSISTANT DIRECTOR - BUS STATIONS, MARKETS & HOUSING",,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
HOUSING_OFFICER,Housing Officer,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_HOUSING_OFFICER,Assistant Housing Officer,,2,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
BUS_STATIONS_MANAGER,Bus Stations Manager,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_BUS_STATIONS_MANAGER,Assistant Bus Stations Manager,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
BUS_STATION_MASTER,Bus Station Master,,2,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
MARKETS_MANAGER,Markets Manager,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
ASSISTANT_MARKETS_MANAGER,Assistant Markets Manager,,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
MARKETS_MASTER,Markets Master,,2,Community Services,DIRECTOR___COMMUNITY_SERVICES,Town
DIRECTOR___COMMUNITY_SERVICES,DIRECTOR - COMMUNITY SERVICES,LGSS/04,1,Community Services,,Municipal
ASSISTANT_DIRECTOR___SOCIAL_SE,ASSISTANT DIRECTOR - SOCIAL SERVICES,L,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Municipal
CHIEF_COMMUNITY_DEVELOPMENT_OF,Chief Community Development Officer,LGSS/06,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Municipal
SENIOR_COMMUNITY_DEVELOPMENT_O,Senior Community Development Officer,LGSS/07,2,Community Services,CHIEF_COMMUNITY_DEVELOPMENT_OF,Municipal
COMMUNITY_DEVELOPMENT_OFFICER,Community Development Officer,LGSS/08,6,Community Services,CHIEF_COMMUNITY_DEVELOPMENT_OF,Municipal
SENIOR_ASSISTANT_DEVELOPMENT_O,Senior Assistant Development Officer,LGSS/11,4,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Municipal
ASSISTANT_COMMUNITY_DEVELOPMEN,Assistant Community Development Officer,LGSS/14,4,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Municipal
COMMUNITY_DEVELOPMENT_ASSISTAN,Community Development Assistant,LGSS/17,10,Community Services,ASSISTANT_COMMUNITY_DEVELOPMEN,Municipal
_ADDITIONAL_REPORTING_LINES_,[Additional reporting lines],,1,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Municipal
_ADDITIONAL_COMMUNITY_DEVELOPM,[Additional Community Development Officers],,1,Community Services,COMMUNITY_DEVELOPMENT_OFFICER,Municipal
_ADDITIONAL_SENIOR_COMMUNITY_D,[Additional Senior Community Development Officers],,1,Community Services,CHIEF_COMMUNITY_DEVELOPMENT_OF,Municipal
_ADDITIONAL_STRUCTURE_,[Additional structure],,1,Community Services,CHIEF_COMMUNITY_DEVELOPMENT_OF,Municipal
LIBRARIAN,Librarian,LGSS/07,1,Community Services,DIRECTOR___COMMUNITY_SERVICES,Municipal
SENIOR_ASSISTANT_LIBRARIAN,Senior Assistant Librarian,LGSS/10,2,Community Services,DIRECTOR___COMMUNITY_SERVICES,Municipal
ASSISTANT_LIBRARIAN,Assistant Librarian,LGSS/12,8,Community Services,SENIOR_ASSISTANT_LIBRARIAN,Municipal
SENIOR_LIBRARY_ASSISTANT,Senior Library Assistant,LGSS/14,1,Community Services,SENIOR_ASSISTANT_LIBRARIAN,Municipal
