position_id,title,salary_scale,establishment,section,reports_to,council_type
COUNC-SEC,Council Secretary,LGSS03,1,Council Administration,,Town
ENG-ELEC-HEAD,Electrical Engineer,LGSS07,1,Electrical Unit,ENG-ASST-DIR,Town
ENG-ELEC-CHIEF,Chief Electrical Engineer,LGSS06,1,Electrical Unit,ENG-ASST-DIR,Town
ENG-ELEC-ASST,Assistant Electrical Engineer,LGSS10,1,Electrical Unit,ENG-ELEC-HEAD,Town
ENG-ELEC-TECH,Electrician,LGSS14,2,Electrical Unit,ENG-ELEC-HEAD,Town
ENG-MAINT-SUP,Maintenance Superintendent,LGSS10,1,Maintenance Unit,ENG-ASST-DIR,Town
ENG-PLUM,Plumber,LGSS15,2,Maintenance Unit,ENG-MAINT-SUP,Town
ENG-BRICK,Bricklayer,LGSS15,2,Maintenance Unit,ENG-MAINT-SUP,Town
ENG-CARP,Carpenter,LGSS15,2,Maintenance Unit,ENG-MAINT-SUP,Town
ENG-PAINT,Painter,LGSS15,1,Maintenance Unit,ENG-MAINT-SUP,Town
ENG-GENWORK,General Worker,G3,3,Maintenance Unit,ENG-MAINT-SUP,Town
ENG-QSURV,Quantity Surveyor,LGSS07,1,Quantity Surveying Unit,ENG-ASST-DIR,Town
ENG-QSURV-ASST,Assistant Quantity Surveyor,LGSS10,2,Quantity Surveying Unit,ENG-QSURV,Town
ENG-ARCH,Architect,LGSS07,1,Architecture Unit,ENG-ASST-DIR,Town
ENG-ARCH-ASST,Assistant Architect,LGSS10,2,Architecture Unit,ENG-ARCH,Town
ENG-CLERK,Senior Clerk of Works,LGSS10,1,Architecture Unit,ENG-ARCH,Town
ENG-DRAFT,Draughtsman,LGSS15,1,Architecture Unit,ENG-ARCH,Town
ENG-PARK-MGR,Parks Manager,LGSS07,1,Parks and Gardens Unit,ENG-ASST-DIR,Town
ENG-PARK-SUP,Parks Supervisor,LGSS15,1,Parks and Gardens Unit,ENG-PARK-MGR,Town
ENG-PARK-WORK,General Worker,G1,4,Parks and Gardens Unit,ENG-PARK-SUP,Town
ENG-CIVIL,Civil Engineer,LGSS07,1,Roads and Drainages Unit,ENG-ASST-DIR,Town
ENG-CIVIL-ASST,Assistant Civil Engineer,LGSS10,2,Roads and Drainages Unit,ENG-CIVIL,Town
ENG-CIVIL-TECH,Engineering Assistant,LGSS14,2,Roads and Drainages Unit,ENG-CIVIL,Town
ENG-MECH,Mechanical Engineer,LGSS07,1,Mechanical Services Unit,ENG-ASST-DIR,Town
ENG-MECH-ASST,Assistant Mechanical Engineer,LGSS10,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-MOTOR,Motor Vehicle Examiner,LGSS11,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-AUTO,Auto Electrician,LGSS14,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-MECH-TECH,Mechanic,LGSS14,2,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-EXCAV,Excavator Operator,LGSS14,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-SCALER,Scaler Operator,LGSS14,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-HANDY,Mechanical Handyman,G1,2,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-WELDER,Welder,LGSS15,1,Vehicle Maintenance Services Sub-Unit,ENG-MECH,Town
ENG-FIRE-DIV,Divisional Fire Officer,LGSS08,1,Fire and Rescue Services Unit,ENG-ASST-DIR,Town
ENG-FIRE-STN,Station Officer,LGSS11,1,Fire and Rescue Services Unit,ENG-FIRE-DIV,Town
ENG-FIRE-SUB,Sub-Officer,LGSS12,1,Fire and Rescue Services Unit,ENG-FIRE-STN,Town
ENG-FIRE-LEAD,Leading Firefighter,LGSS13,2,Fire and Rescue Services Unit,ENG-FIRE-STN,Town
ENG-FIRE,Fire Fighter,LGSS14,4,Fire and Rescue Services Unit,ENG-FIRE-LEAD,Town
ENG-FIRE-DRV,Fire Fighter Driver,LGSS14,2,Fire and Rescue Services Unit,ENG-FIRE-LEAD,Town
ENG-WATSAN,Water and Sanitation Engineer,LGSS07,1,Rural Water and Sanitation Unit,ENG-ASST-DIR,Town
TOWN-CLERK,Town Clerk,LGSS02,1,Council Administration,,Town
ENG-DIR,Director - Engineering,LGSS04,1,Engineering Department,TOWN-CLERK,Town
ENG-ELEC-CHIEF,Chief Electrical Engineer,LGSS06,1,Electrical Engineering Unit,ENG-CONSTR-ASSTDIR,Town
ENG-ELEC-ENG07,Electrical Engineer,LGSS07,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,Town
ENG-ELEC-ASST,Assistant Electrical Engineer,LGSS10,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,Town
ENG-ELEC-SUPT,Superintendent,LGSS12,1,Electrical Engineering Unit,ENG-ELEC-CHIEF,Town
ENG-ELEC-ASSTSUPT,Assistant Superintendent,LGSS13,1,Electrical Engineering Unit,ENG-ELEC-SUPT,Town
ENG-ELEC-SENASSIST,Senior Engineering Assistant,LGSS13,1,Electrical Engineering Unit,ENG-ELEC-SUPT,Town
ENG-ELEC-WORKSUP,Works Supervisor,LGSS14,1,Electrical Engineering Unit,ENG-ELEC-SUPT,Town
ENG-ELEC-TECH,Electrician,LGSS14,5,Electrical Engineering Unit,ENG-ELEC-WORKSUP,Town
ENG-ELEC-FOREMAN,Foreman,LGSS14,1,Electrical Engineering Unit,ENG-ELEC-WORKSUP,Town
ENG-ELEC-ASSTFORE,Assistant Foreman,LGSS17,1,Electrical Engineering Unit,ENG-ELEC-FOREMAN,Town
ENG-QSURV-CHIEF,Chief Quantity Surveyor,LGSS06,1,Quantity Surveying Unit,ENG-CONSTR-ASSTDIR,Town
ENG-QSURV07,Quantity Surveyor,LGSS07,3,Quantity Surveying Unit,ENG-QSURV-CHIEF,Town
ENG-QSURV-ASST,Assistant Quantity Surveyor,LGSS10,3,Quantity Surveying Unit,ENG-QSURV07,Town
ENG-QSURV-SENASSIST,Senior Quantity Surveying Assistant,LGSS13,1,Quantity Surveying Unit,ENG-QSURV-ASST,Town
ENG-QSURV-ASSIST,Quantity Surveying Assistant,LGSS14,1,Quantity Surveying Unit,ENG-QSURV-ASST,Town
ENG-ARCH-CHIEF,Chief Architect,LGSS06,1,Architecture Unit,ENG-CONSTR-ASSTDIR,Town
ENG-ARCH07,Architect,LGSS07,3,Architecture Unit,ENG-ARCH-CHIEF,Town
ENG-ARCH-ASST,Assistant Architect,LGSS10,2,Architecture Unit,ENG-ARCH07,Town
ENG-ARCH-ASSIST,Architectural Assistant,LGSS14,1,Architecture Unit,ENG-ARCH-ASST,Town
ENG-ARCH-FOREMAN,Foreman,LGSS14,2,Architecture Unit,ENG-ARCH-ASST,Town
ENG-ARCH-ASSTFORE,Assistant Foreman,LGSS17,2,Architecture Unit,ENG-ARCH-FOREMAN,Town
ENG-ARCH-SENCLERK,Senior Clerk of Works,LGSS10,2,Architecture Unit,ENG-ARCH07,Town
ENG-ARCH-CLERK,Clerk of Works,LGSS12,2,Architecture Unit,ENG-ARCH-SENCLERK,Town
ENG-ARCH-DRAFT,Draughtsman,LGSS15,1,Architecture Unit,ENG-ARCH07,Town
ENG-MAINT-SUPT,Maintenance Superintendent,LGSS10,1,Maintenance Unit,ENG-CONSTR-ASSTDIR,Town
