position_id,title,salary_scale,establishment,section,reports_to,council_type
CHIEF_INTERNAL_AUDITOR,CHIEF INTERNAL AUDITOR,L,1,Internal Audit,,Town
SENIOR_INTERNAL_AUDITOR,SENIOR INTERNAL AUDITOR,L,1,Internal Audit,,Town
INTERNAL_AUDITOR,INTERNAL AUDITOR,L,2,Internal Audit,,Town
ASSISTANT_INTERNAL_AUDITOR,ASSISTANT INTERNAL AUDITOR,L,2,Internal Audit,,Town
HEAD___INTERNAL_AUDIT,HEAD - INTERNAL AUDIT,D,1,Internal Audit,,Municipal
SENIOR_INTERNAL_AUDITOR,SENIOR INTERNAL AUDITOR,L,1,Internal Audit,,Municipal
INTERNAL_AUDITOR,INTERNAL AUDITOR,L,2,Internal Audit,,Municipal
ASSISTANT_INTERNAL_AUDITOR,ASSISTANT INTERNAL AUDITOR,L,8,Internal Audit,INTERNAL_AUDITOR,Municipal
INTERNAL_AUDIT_ASSISTANT,INTERNAL AUDIT ASSISTANT,L,4,Internal Audit,INTERNAL_AUDITOR,Municipal
_ADDITIONAL_INTERNAL_AUDITORS_,[Additional Internal Auditors],,1,Internal Audit,,Municipal
_OTHER_SUPPORT_STAFF_,[Other support staff],,1,Internal Audit,,Municipal
HEAD___INTERNAL_AUDIT,HEAD - INTERNAL AUDIT,D,1,Internal Audit,,City
PRINCIPAL_INTERNAL_AUDITOR,PRINCIPAL INTERNAL AUDITOR,L,1,Internal Audit,,City
SENIOR_INTERNAL_AUDITOR,SENIOR INTERNAL AUDITOR,L,2,Internal Audit,,City
INTERNAL_AUDITOR,INTERNAL AUDITOR,L,4,Internal Audit,,City
ASSISTANT_INTERNAL_AUDITOR,ASSISTANT INTERNAL AUDITOR,L,8,Internal Audit,,City
_ADDITIONAL_SENIOR_INTERNAL_AU,[Additional Senior Internal Auditors],,1,Internal Audit,,City
