position_id,title,salary_scale,establishment,section,reports_to,council_type
COUNCIL_SECRETARY,COUNCIL SECRETARY,CIL,1,Office of the CEO,,Town
PERSONAL_SECRETARY,PERSONAL SECRETARY,L,2,Office of the CEO,COUNCIL_SECRETARY,Town
DRIVER__G1_,DRIVER (G1),G1,1,Office of the CEO,COUNCIL_SECRETARY,Town
OFFICE_ORDERLY__G3_,OFFICE ORDERLY (G3),G3,1,Office of the CEO,COUNCIL_SECRETARY,Town
PUBLIC_RELATIONS_UNIT,PUBLIC RELATIONS UNIT,LIC,1,Office of the CEO,COUNCIL_SECRETARY,Town
PUBLIC_RELATIONS_OFFICER,PUBLIC RELATIONS OFFICER,LIC,1,Office of the CEO,COUNCIL_SECRETARY,Town
ASSISTANT_PUBLIC_RELATIONS_OFF,ASSISTANT PUBLIC RELATIONS OFFICER,LIC,1,Office of the CEO,PUBLIC_RELATIONS_OFFICER,Town
ICT_UNIT,ICT UNIT,,1,Office of the CEO,COUNCIL_SECRETARY,Town
SYSTEM_ANALYST,SYSTEM ANALYST,M,1,Office of the CEO,COUNCIL_SECRETARY,Town
PROGRAMMER,PROGRAMMER,LGSS/10,2,Office of the CEO,COUNCIL_SECRETARY,Town
TOWN_CLERK,TOWN CLERK,LGSS/02,1,Office of the CEO,,Municipal
PERSONAL_ASSISTANT,PERSONAL ASSISTANT,L,1,Office of the CEO,TOWN_CLERK,Municipal
DRIVER__G1_,DRIVER (G1),G1,1,Office of the CEO,TOWN_CLERK,Municipal
OFFICE_ORDERLY__G3_,OFFICE ORDERLY (G3),G3,1,Office of the CEO,TOWN_CLERK,Municipal
PUBLIC_RELATIONS_MANAGER,PUBLIC RELATIONS MANAGER,LIC,1,Office of the CEO,TOWN_CLERK,Municipal
SENIOR_PUBLIC_RELATIONS_OFFICE,SENIOR PUBLIC RELATIONS OFFICER,LIC,1,Office of the CEO,TOWN_CLERK,Municipal
PUBLIC_RELATIONS_OFFICER,PUBLIC RELATIONS OFFICER,LIC,1,Office of the CEO,TOWN_CLERK,Municipal
TOWN_CLERK,TOWN CLERK,LGSS/01,1,Office of the CEO,,City
PERSONAL_SECRETARY,PERSONAL SECRETARY,L,1,Office of the CEO,TOWN_CLERK,City
DRIVER__G1_,DRIVER (G1),G1,1,Office of the CEO,TOWN_CLERK,City
OFFICE_ORDERLY__G3_,OFFICE ORDERLY (G3),G3,1,Office of the CEO,TOWN_CLERK,City
PUBLIC_RELATIONS_MANAGER,PUBLIC RELATIONS MANAGER,LIC,1,Office of the CEO,TOWN_CLERK,City
ASSISTANT_PUBLIC_RELATIONS_MAN,ASSISTANT PUBLIC RELATIONS MANAGER,LIC,1,Office of the CEO,TOWN_CLERK,City
PUBLIC_RELATIONS_OFFICER,PUBLIC RELATIONS OFFICER,LIC,3,Office of the CEO,TOWN_CLERK,City
