position_id,title,salary_scale,establishment,section,reports_to,council_type
CHIEF_PROCUREMENT_AND_SUPPLIES,CHIEF PROCUREMENT AND SUPPLIES OFFICER,D,1,Procurement,,Town
SENIOR_PROCUREMENT_AND_SUPPLIE,SENIOR PROCUREMENT AND SUPPLIES OFFICER,D,1,Procurement,,Town
PROCUREMENT_AND_SUPPLIES_OFFIC,PROCUREMENT AND SUPPLIES OFFICER,D,1,Procurement,,Town
ASSISTANT_PROCUREMENT_AND_SUPP,ASSISTANT PROCUREMENT AND SUPPLIES OFFICER,D,2,Procurement,,Town
PROCUREMENT___SUPPLIES_OFFICER,PROCUREMENT & SUPPLIES OFFICER - HEALTH SERVICES,LGSS/08,1,Procurement,,Town
_REPORTS_TO_CHIEF_PROCUREMENT_,"[Reports to Chief Procurement Officer, works with Health Department]",,1,Procurement,,Town
HEAD___PROCUREMENT,HEAD - PROCUREMENT,D,1,Procurement,,Municipal
SENIOR_PROCUREMENT_OFFICER,SENIOR PROCUREMENT OFFICER,LGSS/07,2,Procurement,,Municipal
PROCUREMENT_OFFICER,PROCUREMENT OFFICER,LGSS/08,2,Procurement,,Municipal
PROCUREMENT_ASSISTANT,PROCUREMENT ASSISTANT,LGSS/10,4,Procurement,,Municipal
PROCUREMENT_OFFICER___HEALTH_S,PROCUREMENT OFFICER - HEALTH SERVICES,LGSS/08,1,Procurement,,Municipal
_REPORTS_TO_HEAD___PROCUREMENT,"[Reports to Head - Procurement, works with Health Department]",,1,Procurement,,Municipal
HEAD___PROCUREMENT,HEAD - PROCUREMENT,D,1,Procurement,,City
CHIEF_PROCUREMENT_OFFICER,CHIEF PROCUREMENT OFFICER,LGSS/06,1,Procurement,,City
SENIOR_PROCUREMENT_OFFICER,SENIOR PROCUREMENT OFFICER,LGSS/07,3,Procurement,,City
PROCUREMENT_ASSISTANT,PROCUREMENT ASSISTANT,LGSS/10,6,Procurement,SENIOR_PROCUREMENT_OFFICER,City
_ADDITIONAL_SENIOR_PROCUREMENT,[Additional Senior Procurement Officers],,1,Procurement,,City
PROCUREMENT_OFFICER___HEALTH_S,PROCUREMENT OFFICER - HEALTH SERVICES,LGSS/08,1,Procurement,,City
_REPORTS_TO_HEAD___PROCUREMENT,"[Reports to Head - Procurement, works with Health Department]",,1,Procurement,,City
