position_id,title,salary_scale,establishment,section,reports_to,council_type
DIRECTOR,DIRECTOR,LGSS/03,1,Valuation,,City
CHIEF_VALUATION_OFFICER,CHIEF VALUATION OFFICER,LGSS/05,1,Valuation,,City
PROPERTY_MANAGEMENT_STREAM,PROPERTY MANAGEMENT STREAM,M,1,Valuation,,City
SENIOR_VALUATION_OFFICER___PRO,SENIOR VALUATION OFFICER - PROPERTY MANAGEMENT,LGSS/06,1,Valuation,,City
VALUATION_OFFICER___PROPERTY_M,VALUATION OFFICER - PROPERTY MANAGEMENT,LGSS/07,2,Valuation,,City
ASSISTANT_VALUATION_OFFICER___,ASSISTANT VALUATION OFFICER - PROPERTY MANAGEMENT,LGSS/10,4,Valuation,VALUATION_OFFICER___PROPERTY_M,City
FIELD_INSPECTOR,FIELD INSPECTOR,LD,5,Valuation,VALUATION_OFFICER___PROPERTY_M,City
_SUPPORT_STAFF_,[Support Staff],,1,Valuation,,City
PROPERTY_TAXATION___RATING_STR,PROPERTY TAXATION & RATING STREAM,M,1,Valuation,,City
SENIOR_VALUATION_OFFICER___PRO,SENIOR VALUATION OFFICER - PROPERTY TAXATION & RATING,LGSS/06,1,Valuation,,City
VALUATION_OFFICER___PROPERTY_T,VALUATION OFFICER - PROPERTY TAXATION & RATING,LGSS/07,2,Valuation,,City
ASSISTANT_VALUATION_OFFICER___,ASSISTANT VALUATION OFFICER - PROPERTY TAXATION & RATING,LGSS/10,4,Valuation,,City
FIELD_INSPECTOR,FIELD INSPECTOR,LD,5,Valuation,,City
DATA_ENTRY_CLERK,DATA ENTRY CLERK,LGSS/13,2,Valuation,,City
_SUPPORT_STAFF_,[Support Staff],,1,Valuation,,City
