run_id,period_id,run_code,run_status,created_at,processed_at,total_employees,total_basic,total_allowances,total_gross,total_deductions,total_net,notes
1,1,RUN-2026-03,COMPLETED,"2026-03-15 17:27:45","2026-03-15 17:27:45",181,1010822.75,578076.8,1588899.55,60649.31,1528250.24,"Basic payroll calculation run"
3,3,RUN-2026-05-OLD,COMPLETED,"2026-03-15 19:14:07","2026-03-15 19:14:07",181,1010822.75,578076.8,1588899.55,60649.31,1528250.24,"Basic payroll calculation run"
4,4,RUN-2026-06,COMPLETED,"2026-03-15 19:33:47","2026-03-15 19:33:47",181,1010822.75,578076.8,1588899.55,66430.15,1522469.4,"Basic payroll calculation run"
5,5,RUN-2027-01,COMPLETED,"2026-03-19 20:50:47","2026-03-19 20:50:47",181,1010822.75,549952.95,1560775.7,205352.55,1355423.15,"Basic payroll calculation run"
6,6,RUN-2027-02,COMPLETED,"2026-03-19 20:52:57","2026-03-19 20:52:57",181,1010822.75,549952.95,1560775.7,205352.55,1355423.15,"Basic payroll calculation run"
7,7,RUN-2027-03,COMPLETED,"2026-03-19 21:01:42","2026-03-19 21:01:43",181,1010822.75,549952.95,1560775.7,205352.55,1355423.15,"Basic payroll calculation run"
8,8,RUN-2027-04,COMPLETED,"2026-03-19 21:03:53","2026-03-19 21:03:53",181,1010822.75,549952.95,1560775.7,209395.7,1351380.0,"Basic payroll calculation run"
19,10,RUN-2026-01,COMPLETED,"2026-05-18 21:31:55","2026-05-18 21:31:55",182,1090379.0,1045386.09,2135765.09,359901.45,1775863.64,"Basic payroll calculation run"
20,2,RUN-2026-04,COMPLETED,"2026-05-18 21:54:28","2026-05-18 21:54:28",182,1090379.0,1045386.09,2135765.09,359901.45,1775863.64,"Basic payroll calculation run"
21,3,RUN-2026-05,COMPLETED,"2026-05-18 21:54:30","2026-05-18 21:54:30",182,1090379.0,1045386.09,2135765.09,359901.45,1775863.64,"Basic payroll calculation run"
