position_id,title,section_id,salary_scale,proposed_establishment,reports_to,level,is_head_of_section,council_type_id
HRA-DIR-MUN,"Director of Human Resource & Administration",1,LGSS/04,1,,1,1,2
HRA-CHRO-MUN,"Chief Human Resource Officer",2,LGSS/06,1,HRA-DIR-MUN,2,1,2
HRA-SNR-HRO-MUN,"Senior Human Resource Officer",2,LGSS/07,2,HRA-CHRO-MUN,3,0,2
HRA-HRO-MUN,"Human Resource Officer",2,LGSS/08,7,HRA-SNR-HRO-MUN,4,0,2
HRA-CH-ADMIN-MUN,"Chief Administrative Officer",3,LGSS/06,1,HRA-DIR-MUN,2,1,2
HRA-SNR-ADMIN-MUN,"Senior Administrative Officer",3,LGSS/07,2,HRA-CH-ADMIN-MUN,3,0,2
HRA-ADMIN-MUN,"Administrative Officer",3,LGSS/08,6,HRA-SNR-ADMIN-MUN,4,0,2
HRA-SEC-MUN,"Personal Secretary",3,LGSS/10,1,HRA-ADMIN-MUN,5,0,2
HRA-STENO-MUN,Stenographer,3,LGSS/12,2,HRA-ADMIN-MUN,5,0,2
HRA-TYPIST-MUN,Typist,3,LGSS/14,9,HRA-ADMIN-MUN,5,0,2
HRA-HEAD-DRIVER-MUN,"Head Driver",3,G1,1,HRA-ADMIN-MUN,5,0,2
HRA-DRIVER-MUN,Driver,3,G1,24,HRA-ADMIN-MUN,6,0,2
HRA-ORDERLY-MUN,"Office Orderly",3,G3,20,HRA-ADMIN-MUN,6,0,2
HRA-WATCHMAN-MUN,Watchman,3,G3,15,HRA-ADMIN-MUN,6,0,2
HRA-REG-SUP-MUN,"Registry Supervisor",4,LGSS/14,2,HRA-ADMIN-MUN,5,1,2
HRA-REG-CLERK-MUN,"Registry Clerk",4,LGSS/17,15,HRA-REG-SUP-MUN,6,0,2
HRA-CH-COMM-MUN,"Chief Committee Clerk",5,LGSS/06,1,HRA-DIR-MUN,2,1,2
HRA-SNR-COMM-MUN,"Senior Committee Clerk",5,LGSS/08,1,HRA-CH-COMM-MUN,3,0,2
HRA-COMM-CLERK-MUN,"Committee Clerk",5,LGSS/10,3,HRA-SNR-COMM-MUN,4,0,2
HRA-ASST-COMM-MUN,"Assistant Committee Clerk",5,LGSS/12,2,HRA-COMM-CLERK-MUN,5,0,2
HRA-CH-SEC-MUN,"Chief Security Officer",6,LGSS/06,1,HRA-DIR-MUN,2,1,2
HRA-SNR-SEC-MUN,"Senior Security Officer",6,LGSS/07,1,HRA-CH-SEC-MUN,3,0,2
HRA-SEC-OFFICER-MUN,"Security Officer",6,LGSS/08,1,HRA-SNR-SEC-MUN,4,0,2
HRA-SERGEANT-MUN,"Town Sergeant",6,LGSS/10,2,HRA-SNR-SEC-MUN,4,0,2
HRA-INSPECTOR-MUN,Inspector,6,LGSS/12,2,HRA-SNR-SEC-MUN,4,0,2
HRA-SUB-INSPECTOR-MUN,"Sub Inspector",6,LGSS/14,4,HRA-SNR-SEC-MUN,4,0,2
HRA-POLICE-MUN,"Police Constable",6,G1,65,HRA-SNR-SEC-MUN,5,0,2
HRA-DIR-CITY,"Director of Human Resource & Administration",7,LGSS/03,1,,1,1,3
HRA-ADIR-HRMDEV-CITY,"Assistant Director – HR Management & Development",8,LGSS/05,1,HRA-DIR-CITY,2,1,3
HRA-CHRO-CITY,"Chief Human Resource Officer",8,LGSS/06,1,HRA-ADIR-HRMDEV-CITY,3,0,3
HRA-SNR-HRO-CITY,"Senior Human Resource Officer",8,LGSS/07,3,HRA-CHRO-CITY,4,0,3
HRA-HRO-CITY,"Human Resource Officer",8,LGSS/08,10,HRA-SNR-HRO-CITY,5,0,3
HRA-ADIR-ADMIN-CITY,"Assistant Director – Administration",9,LGSS/05,1,HRA-DIR-CITY,2,1,3
HRA-CH-ADMIN-CITY,"Chief Administrative Officer",10,LGSS/06,1,HRA-ADIR-ADMIN-CITY,3,1,3
HRA-SNR-ADMIN-CITY,"Senior Administrative Officer",10,LGSS/07,8,HRA-CH-ADMIN-CITY,4,0,3
HRA-ADMIN-CITY,"Administrative Officer",10,LGSS/08,8,HRA-SNR-ADMIN-CITY,5,0,3
HRA-SNR-PRINT-CITY,"Senior Printing Officer",10,LGSS/08,1,HRA-CH-ADMIN-CITY,4,0,3
HRA-PRINT-CITY,"Printing Officer",10,LGSS/10,1,HRA-SNR-PRINT-CITY,5,0,3
HRA-SEC-CITY,"Personal Secretary",10,LGSS/11,1,HRA-ADMIN-CITY,6,0,3
HRA-STENO-CITY,Stenographer,10,LGSS/12,7,HRA-ADMIN-CITY,6,0,3
HRA-TYPIST-CITY,Typist,10,LGSS/14,7,HRA-ADMIN-CITY,6,0,3
HRA-HEAD-DRIVER-CITY,"Head Driver",10,G1,1,HRA-ADMIN-CITY,6,0,3
HRA-DRIVER-CITY,Driver,10,G1,24,HRA-ADMIN-CITY,7,0,3
HRA-ORDERLY-CITY,"Office Orderly",10,G3,20,HRA-ADMIN-CITY,7,0,3
HRA-WATCHMAN-CITY,Watchman,10,G3,15,HRA-ADMIN-CITY,7,0,3
HRA-GW-CITY,"General Worker",10,G3,95,HRA-ADMIN-CITY,7,0,3
HRA-REG-SUP-CITY,"Registry Supervisor",11,LGSS/14,3,HRA-ADMIN-CITY,6,1,3
HRA-REG-CLERK-CITY,"Registry Clerk",11,LGSS/17,16,HRA-REG-SUP-CITY,7,0,3
HRA-CH-COMM-CITY,"Chief Committee Clerk",12,LGSS/06,1,HRA-DIR-CITY,2,1,3
HRA-SNR-COMM-CITY,"Senior Committee Clerk",12,LGSS/08,2,HRA-CH-COMM-CITY,3,0,3
HRA-COMM-CLERK-CITY,"Committee Clerk",12,LGSS/10,7,HRA-SNR-COMM-CITY,4,0,3
HRA-ASST-COMM-CITY,"Assistant Committee Clerk",12,LGSS/12,5,HRA-COMM-CLERK-CITY,5,0,3
HRA-CH-SEC-CITY,"Chief Security Officer",13,LGSS/06,1,HRA-DIR-CITY,2,1,3
HRA-SNR-SEC-CITY,"Senior Security Officer",13,LGSS/08,1,HRA-CH-SEC-CITY,3,0,3
HRA-SEC-OFFICER-CITY,"Security Officer",13,LGSS/10,2,HRA-SNR-SEC-CITY,4,0,3
HRA-SERGEANT-CITY,"Town Sergeant",13,LGSS/12,2,HRA-SNR-SEC-CITY,4,0,3
HRA-INSPECTOR-CITY,Inspector,13,LGSS/14,4,HRA-SNR-SEC-CITY,4,0,3
HRA-SUB-INSPECTOR-CITY,"Sub Inspector",13,LGSS/14,15,HRA-SNR-SEC-CITY,4,0,3
HRA-POLICE-CITY,"Police Constable",13,G1,65,HRA-SNR-SEC-CITY,5,0,3
